                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 0.6954,                0.45729,                0.90569,                0.74453,                0.39607,                 0.4583,                0.28771,                 1.3405,                 1.4512,                 1.4587,              0.0003323,              0.0003323,              0.0003323
                     56,                0.67235,                0.45247,                0.91036,                0.65096,                0.42011,                0.42205,                0.26846,                 1.3535,                 1.7153,                 1.4314,             0.00032523,             0.00032523,             0.00032523
                     57,                0.69266,                0.45383,                0.90209,                0.64228,                0.38547,                0.40916,                0.26452,                 1.3747,                 1.8006,                  1.464,             0.00031816,             0.00031816,             0.00031816
                     58,                0.69848,                0.45181,                0.91465,                0.67076,                0.38787,                0.42078,                0.26822,                 1.3567,                 1.7518,                  1.446,             0.00031109,             0.00031109,             0.00031109
                     59,                 0.6838,                0.44831,                0.91131,                0.66949,                0.39396,                0.42283,                0.27043,                 1.3517,                 1.8311,                 1.4207,             0.00030402,             0.00030402,             0.00030402
                     60,                0.69389,                 0.4476,                0.90234,                0.70177,                0.40873,                0.43852,                0.28407,                 1.3412,                 1.6273,                 1.4262,             0.00029695,             0.00029695,             0.00029695
                     61,                0.63295,                0.39752,                0.88907,                 0.7228,                0.40914,                0.44182,                0.28971,                 1.3034,                 1.6086,                 1.4002,             0.00028988,             0.00028988,             0.00028988
                     62,                0.65095,                0.40812,                0.88923,                0.69912,                 0.4121,                0.46566,                 0.3059,                 1.2572,                 1.5164,                 1.3538,             0.00028282,             0.00028282,             0.00028282
                     63,                 0.6529,                0.41328,                0.89007,                0.64389,                0.48295,                0.46545,                0.30318,                 1.2359,                 1.5481,                 1.3268,             0.00027575,             0.00027575,             0.00027575
                     64,                0.65645,                0.41688,                0.88891,                 0.6584,                0.46128,                0.44929,                    0.3,                 1.2702,                 1.6092,                 1.3511,             0.00026868,             0.00026868,             0.00026868
                     65,                0.66851,                0.42766,                0.89456,                 0.7019,                0.41615,                0.44875,                0.29736,                 1.2782,                 1.6355,                 1.3769,             0.00026161,             0.00026161,             0.00026161
                     66,                0.64292,                0.40231,                0.89154,                0.71028,                0.42819,                0.45804,                0.29835,                 1.3067,                 1.6272,                 1.4074,             0.00025454,             0.00025454,             0.00025454
                     67,                0.62408,                0.39525,                0.87762,                0.77362,                0.40627,                0.47018,                0.30496,                 1.3122,                 1.6637,                 1.4248,             0.00024747,             0.00024747,             0.00024747
                     68,                0.62533,                0.41841,                 0.8869,                0.70014,                0.43806,                0.47274,                0.31632,                 1.2902,                 1.5543,                 1.4159,              0.0002404,              0.0002404,              0.0002404
                     69,                0.62121,                0.40106,                0.88115,                0.69018,                0.44211,                0.46959,                 0.2996,                 1.3344,                 1.5936,                 1.4341,             0.00023334,             0.00023334,             0.00023334
                     70,                0.60121,                  0.378,                 0.8738,                0.72593,                0.41009,                0.47091,                0.30827,                 1.2988,                 1.6164,                 1.4232,             0.00022627,             0.00022627,             0.00022627
                     71,                0.60723,                 0.3797,                0.87276,                0.66657,                0.44068,                0.46502,                0.29768,                 1.3155,                   1.68,                 1.4268,              0.0002192,              0.0002192,              0.0002192
                     72,                0.59394,                0.36882,                0.88283,                0.72035,                0.44093,                0.47903,                0.30529,                 1.3063,                 1.6033,                 1.4195,             0.00021213,             0.00021213,             0.00021213
                     73,                0.60922,                0.38202,                0.88235,                0.67728,                 0.4727,                0.48757,                0.31125,                 1.2878,                 1.5407,                 1.4042,             0.00020506,             0.00020506,             0.00020506
                     74,                0.60311,                 0.3845,                0.87715,                0.48189,                0.44716,                0.48033,                0.30447,                  1.289,                 1.6025,                 1.3912,             0.00019799,             0.00019799,             0.00019799
                     75,                0.57772,                0.36594,                0.86288,                0.68354,                0.41494,                0.47065,                0.30144,                 1.3134,                 1.5851,                 1.4122,             0.00019092,             0.00019092,             0.00019092
                     76,                0.59588,                0.37287,                0.86197,                0.43827,                0.44548,                0.46266,                0.30216,                  1.296,                 1.6777,                 1.4032,             0.00018385,             0.00018385,             0.00018385
                     77,                 0.5649,                0.35538,                0.86581,                0.68636,                0.45836,                0.48532,                0.31064,                 1.3153,                 1.7099,                 1.4171,             0.00017679,             0.00017679,             0.00017679
                     78,                0.56183,                0.34999,                0.87037,                0.69057,                0.43793,                0.47057,                0.31237,                 1.3068,                 1.7046,                 1.4066,             0.00016972,             0.00016972,             0.00016972
                     79,                0.56179,                0.35697,                0.86365,                0.68461,                0.43067,                0.46208,                 0.3128,                 1.2896,                 1.7091,                 1.3953,             0.00016265,             0.00016265,             0.00016265
                     80,                0.58021,                0.35878,                0.85894,                0.42806,                0.42115,                0.45523,                0.30293,                 1.3054,                 1.7117,                 1.4089,             0.00015558,             0.00015558,             0.00015558
